uid	username	nodes	cur nodes	ways	cur ways	relations	cur rels	first	last	days active	total edits	current objects	avg edits/day
44956	Seco	36	36	0	0	0	0	11/05/2008	11/05/2008	1	36	36	36
424172	JanWandelaar	10	10	20	11	6	0	05/10/2011	08/14/2011	96	36	21	0.375
351938	Emiel1	1	1	22	20	13	0	02/01/2011	07/27/2011	176	36	21	0.20454545454545456
98099	lzhl	1	0	0	0	35	0	09/12/2009	09/15/2011	733	36	0	0.04911323328785812
288381	arjen	34	7	1	0	0	0	05/20/2010	05/20/2010	1	35	7	35
177084	AlRight	0	0	1	0	34	0	10/08/2009	04/07/2011	547	35	0	0.06398537477148081
45027	PA94	1	1	31	14	2	0	02/09/2009	06/09/2010	486	34	15	0.06995884773662552
50383	amrmap	5	2	8	1	21	0	07/12/2008	05/14/2011	1036	34	3	0.032818532818532815
121812	Bart-Willem	23	5	11	3	0	0	12/10/2009	12/10/2009	1	34	8	34
57199	PolarZoe	17	2	16	0	0	0	08/05/2008	08/05/2008	1	33	2	33
21124	ardjan	21	0	12	0	0	0	12/07/2007	12/07/2007	1	33	0	33
27499	jdent	18	3	15	0	0	0	02/28/2008	02/28/2008	1	33	3	33
2442	Steven Pemberton	18	4	12	3	3	0	08/24/2009	08/24/2009	1	33	7	33
244201	CEDRIC007	0	0	0	0	33	0	04/15/2010	10/26/2010	194	33	0	0.17010309278350516
186267	flori_hh	29	29	3	3	0	0	10/20/2009	11/12/2009	23	32	32	1.391304347826087
316371	Computerfreaked	15	15	12	11	5	2	05/06/2011	09/06/2011	124	32	28	0.25806451612903225
157996	erietvel	22	7	10	2	0	0	08/14/2009	08/14/2009	1	32	9	32
226132	marcvangend	11	6	21	6	0	0	01/28/2010	01/31/2010	4	32	12	8
120369	tom63452	23	22	6	2	2	0	09/28/2009	09/28/2009	1	31	24	31
142776	dedNikifor	0	0	0	0	31	0	11/20/2009	09/07/2011	656	31	0	0.04725609756097561
35313	ElDiabolo	0	0	30	0	0	0	08/26/2008	08/30/2008	4	30	0	7.5
203503	Felch	29	14	1	1	0	0	12/01/2009	12/01/2009	1	30	15	30
