uid	username	nodes	ways	relations	percentile
438205	raygen	7	1	0	0.9991244991527749
52921	t-i	7	0	0	0.9991391606502165
209446	ijamesbs	6	1	0	0.999153822147658
199225	Steven McGinty	7	0	0	0.9991684836450996
316868	LexIgnatov	4	3	0	0.9991831451425411
149984	MrCustomer	7	0	0	0.9991978066399827
198429	w_bovine	6	0	0	0.9992103736377898
301655	shuaksky	4	2	0	0.9992229406355969
343898	chronicnomad	5	1	0	0.999235507633404
440413	Nikki G	0	6	0	0.999248074631211
250302	pildefon	6	0	0	0.9992606416290181
137002	Starman9x	5	1	0	0.9992732086268251
153625	winterkewl	6	0	0	0.9992857756246322
78656	Walter Schlögl	5	1	0	0.9992983426224392
9176	Maarten Deen	0	6	0	0.9993109096202463
512801	Blvd21	6	0	0	0.9993234766180533
9642	Jscott	5	1	0	0.9993360436158604
70	Matt	6	0	0	0.9993486106136674
287262	binder520	5	0	0	0.99935908311184
152289	cgu66	4	1	0	0.9993695556100125
42123	Ropino	2	3	0	0.999380028108185
79543	fbello	4	1	0	0.9993905006063576
469073	MlleGenie	2	2	1	0.9994009731045302
92150	dirkmunson	4	1	0	0.9994114456027028
131059	h4ck3rm1k3	5	0	0	0.9994219181008753
301504	LosFeiz	3	2	0	0.9994323905990479
153921	akaboxer	5	0	0	0.9994428630972204
39839	Dedee	4	1	0	0.999453335595393
461655	Michael Miller	5	0	0	0.9994638080935655
161920	frequencydip	4	0	0	0.9994721860921035
225328	rdelapp	4	0	0	0.9994805640906416
296416	recharged95	3	1	0	0.9994889420891796
3855	Liimes	4	0	0	0.9994973200877176
100179	jimrii	2	2	0	0.9995056980862557
216204	deltabrasil	1	3	0	0.9995140760847937
393254	Genevieve Thibault	2	1	1	0.9995224540833317
296502	bruinslacker	4	0	0	0.9995308320818698
229317	erclbx	4	0	0	0.9995392100804078
88186	ramtor	4	0	0	0.9995475880789458
244125	somenoise	4	0	0	0.9995559660774839
24126	dforsi	3	0	0	0.9995622495763874
39504	malenki	2	1	0	0.999568533075291
121241	zephyr	0	3	0	0.9995748165741946
92274	adjuva	2	1	0	0.9995811000730981
4363	Pmz	0	3	0	0.9995873835720016
103253	gormur	2	1	0	0.9995936670709051
212111	okilimu	3	0	0	0.9995999505698087
116523	ostlund	3	0	0	0.9996062340687122
26299	uboot	2	1	0	0.9996125175676157
384894	Trex2001	2	1	0	0.9996188010665192
92970	owlman	3	0	0	0.9996250845654228
224033	Elorent	3	0	0	0.9996313680643263
2758	Stefan de Konink	0	3	0	0.9996376515632298
521419	GLGarcia	3	0	0	0.9996439350621333
229091	bruins_united	3	0	0	0.9996502185610369
157749	kconstan	3	0	0	0.9996565020599404
222635	JamesG	3	0	0	0.9996627855588439
384181	LucianFick	3	0	0	0.9996690690577474
509717	zalo	3	0	0	0.999675352556651
105255	Sven L	3	0	0	0.9996816360555545
123633	stevea	1	0	2	0.999687919554458
45027	PA94	1	2	0	0.9996942030533615
11366	William Woody	0	3	0	0.9997004865522651
350507	Momentum PT	3	0	0	0.9997067700511686
186080	jollyllama	2	0	0	0.9997109590504376
302897	nateban	2	0	0	0.9997151480497066
505887	boytek	1	1	0	0.9997193370489756
145231	woodpeck_repair	2	0	0	0.9997235260482447
194064	pokute	0	2	0	0.9997277150475137
51532	Zander Lichstein	1	1	0	0.9997319040467827
28052	CvR	2	0	0	0.9997360930460517
340629	BUMPER1	2	0	0	0.9997402820453208
358883	p1xelsavage	1	1	0	0.9997444710445899
220871	Jimmy Jamming	2	0	0	0.9997486600438589
13436	hkucharek	1	1	0	0.9997528490431279
296731	EdTech	0	2	0	0.9997570380423969
35170	Zane Selvans	2	0	0	0.9997612270416659
100264	zephead	2	0	0	0.9997654160409349
96069	theophrastos	0	2	0	0.999769605040204
109635	Jim Sorg	2	0	0	0.999773794039473
235313	EAF	2	0	0	0.999777983038742
